Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,-9999
28,Zion Williamson,NOP,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,"$163,225,200",willizi01
29,Ja Morant,MEM,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,"$163,225,200",moranja01
30,Darius Garland,CLE,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,"$163,225,200",garlada01
31,OG Anunoby,NYK,"$36,637,932","$39,568,966","$42,500,000","$45,431,034","$48,362,068",,"$164,137,932",anunoog01
32,Jamal Murray,DEN,"$36,016,200","$46,394,100","$50,105,628","$53,817,156","$57,528,684",,"$243,861,768",murraja01
33,Brandon Ingram,TOR,"$36,016,200","$38,095,238","$40,000,000","$41,904,762",,,"$114,111,438",ingrabr01
34,Shai Gilgeous-Alexander,OKC,"$35,859,950","$38,333,050","$40,806,150",,,,"$114,999,150",gilgesh01
35,Michael Porter Jr.,DEN,"$35,859,950","$38,333,050","$40,806,150",,,,"$86,193,000",portemi01
36,Donovan Mitchell,CLE,"$35,410,310","$46,394,100","$50,105,628","$53,817,156",,,"$131,910,038",mitchdo01
37,Tyrese Maxey,PHI,"$35,147,000","$37,958,760","$40,770,520","$43,582,280","$46,394,040",,"$203,852,600",maxeyty01
38,LaMelo Ball,CHO,"$35,147,000","$37,958,760","$40,770,520","$43,582,280","$46,394,040",,"$203,852,600",ballla01
39,Jayson Tatum,BOS,"$34,848,340","$54,126,450","$58,456,566","$62,786,682","$67,116,798","$71,446,914","$277,334,836",tatumja01
40,Bam Adebayo,MIA,"$34,848,340","$37,096,620","$48,713,700","$52,610,796","$56,507,892",,"$173,269,456",adebaba01
41,De'Aaron Fox,SAS,"$34,848,340","$37,096,620",,,,,"$71,944,960",foxde01
42,Desmond Bane,MEM,"$34,005,250","$36,725,670","$39,446,090","$42,166,510","$44,886,930",,"$34,005,250",banede01
43,Deandre Ayton,POR,"$34,005,126","$35,550,814",,,,,"$69,555,940",aytonde01
44,James Harden,LAC,"$33,653,846","$36,346,154",,,,,"$33,653,846",hardeja01
45,CJ McCollum,NOP,"$33,333,333","$30,666,666",,,,,"$33,333,333",mccolcj01
46,Julius Randle,MIN,"$33,073,920","$30,935,520",,,,,"$33,073,920",randlju01
47,Immanuel Quickley,TOR,"$32,500,000","$32,500,000","$32,500,000","$32,500,000","$32,500,000",,"$162,500,000",quickim01
48,Khris Middleton,WAS,"$31,000,000","$33,296,296",,,,,"$64,296,296",middlkh01
49,Jrue Holiday,BOS,"$30,000,000","$32,400,000","$34,800,000","$37,200,000",,,"$97,200,000",holidjr01
50,Isaiah Hartenstein,OKC,"$30,000,000","$28,500,000","$28,500,000",,,,"$58,500,000",harteis01
51,Jerami Grant,POR,"$29,793,104","$32,000,001","$34,206,898","$36,413,790",,,"$96,000,003",grantje01
52,Jordan Poole,WAS,"$29,651,786","$31,848,215","$34,044,642",,,,"$29,651,786",poolejo01
53,Dejounte Murray,NOP,"$29,517,135","$31,557,103","$33,597,072","$31,619,506",,,"$94,671,310",murrade01
54,Devin Vassell,SAS,"$29,347,826","$27,000,000","$27,000,000","$24,652,174","$27,000,000",,"$135,000,000",vassede01
55,Kristaps Porziņģis,BOS,"$29,268,293","$30,731,707",,,,,"$60,000,000",porzikr01
56,Tyler Herro,MIA,"$29,000,000","$31,000,000","$33,000,000",,,,"$93,000,000",herroty01
57,Nic Claxton,BRK,"$27,556,817","$25,352,272","$23,147,727","$20,943,184",,,"$97,000,000",claxtni01
58,Miles Bridges,CHO,"$27,173,913","$25,000,000","$22,826,087",,,,"$75,000,000",bridgmi02
59,John Collins,UTA,"$26,580,000","$26,580,000",,,,,"$53,160,000",collijo01
60,Andrew Wiggins,MIA,"$26,276,786","$28,223,215","$30,169,644",,,,"$54,500,001",wiggian01
61,Anfernee Simons,POR,"$25,892,857","$27,678,571",,,,,"$53,571,428",simonan01
62,RJ Barrett,TOR,"$25,794,643","$27,705,357","$29,616,071",,,,"$83,116,071",barrerj01
63,Tobias Harris,DET,"$25,365,854","$26,634,146",,,,,"$52,000,000",harrito02
64,Jaren Jackson Jr.,MEM,"$25,257,798","$23,413,395",,,,,"$48,671,193",jacksja02
65,Jonathan Isaac,ORL,"$25,000,000","$15,000,000","$14,500,000","$14,500,000","$15,000,000",,"$69,000,000",isaacjo01
66,Jalen Brunson,NYK,"$24,960,001","$34,944,001","$37,739,521","$40,535,041","$43,330,561",,"$138,178,564",brunsja01
67,Terry Rozier,MIA,"$24,924,126","$26,643,031",,,,,"$51,567,157",roziete01
68,Kyle Kuzma,MIL,"$24,456,061","$22,410,605","$20,345,152",,,,"$67,211,818",kuzmaky01
69,Draymond Green,GSW,"$24,107,143","$25,892,857","$27,678,571",,,,"$77,678,571",greendr01
70,DeMar DeRozan,SAC,"$23,400,000","$24,570,000","$25,740,000",,,,"$47,970,000",derozde01
71,Mikal Bridges,NYK,"$23,300,000","$24,900,000",,,,,"$48,200,000",bridgmi01
72,Jaden McDaniels,MIN,"$23,017,242","$24,858,622","$26,700,001","$28,541,380","$30,382,755",,"$133,500,000",mcdanja02
73,Bruce Brown,NOP,"$23,000,000",,,,,,"$23,000,000",brownbr01
74,Brook Lopez,MIL,"$23,000,000",,,,,,"$23,000,000",lopezbr01
75,Aaron Gordon,DEN,"$22,841,455","$22,841,455","$31,978,037","$34,536,280","$37,094,523",,"$112,197,227",gordoaa01
76,Kentavious Caldwell-Pope,ORL,"$22,757,000","$21,621,500","$21,621,500",,,,"$22,757,000",caldwke01
77,Cameron Johnson,BRK,"$22,500,000","$20,543,478","$22,500,000",,,,"$65,543,478",johnsca02
78,Malcolm Brogdon,WAS,"$22,500,000",,,,,,"$22,500,000",brogdma01
79,Clint Capela,ATL,"$22,265,280",,,,,,"$22,265,280",capelca01
80,Dillon Brooks,HOU,"$22,255,493","$21,124,110","$19,992,727",,,,"$22,255,493",brookdi01
81,De'Andre Hunter,CLE,"$21,696,429","$23,303,571","$24,910,714",,,,"$69,910,714",huntede01
82,Lonzo Ball,CHI,"$21,395,348","$10,000,000","$10,000,000",,,,"$21,395,348",balllo01
83,Marcus Smart,WAS,"$20,210,284","$21,586,855",,,,,"$41,797,139",smartma01
84,Derrick White,BOS,"$20,071,429","$28,100,000","$30,348,000","$32,596,000","$34,844,000",,"$111,115,429",whitede01
85,Jarrett Allen,CLE,"$20,000,000","$20,000,000","$28,000,000","$30,240,000","$32,480,000",,"$130,720,000",allenja01
86,Nikola Vučević,CHI,"$20,000,000","$21,481,481",,,,,"$41,481,481",vucevni01
87,Myles Turner,IND,"$19,928,500",,,,,,"$19,928,500",turnemy01
88,Jakob Poeltl,TOR,"$19,500,000","$19,500,000","$19,500,000",,,,"$39,000,000",poeltja01
89,Duncan Robinson,MIA,"$19,406,000","$9,888,000",,,,,"$29,294,000",robindu01
90,Norman Powell,LAC,"$19,241,379","$20,482,758",,,,,"$39,724,137",powelno01
91,Bojan Bogdanović,BRK,"$19,032,850",,,,,,"$19,032,850",bogdabo02
92,Keldon Johnson,SAS,"$19,000,000","$17,500,000","$17,500,000",,,,"$54,000,000",johnske04
93,D'Angelo Russell,BRK,"$18,692,307",,,,,,"$18,692,307",russeda01
94,Collin Sexton,UTA,"$18,350,000","$19,175,000",,,,,"$37,525,000",sextoco01
95,Josh Hart,NYK,"$18,144,000","$19,472,240","$20,923,760","$22,375,280",,,"$58,540,000",hartjo01
96,Jusuf Nurkić,CHO,"$18,125,000","$19,375,000",,,,,"$37,500,000",nurkiju01
97,Patrick Williams,CHI,"$18,000,000","$18,000,000","$18,000,000","$18,000,000","$18,000,000",,"$72,000,000",willipa01
98,Harrison Barnes,SAS,"$18,000,000","$19,000,000",,,,,"$37,000,000",barneha02
99,Malik Monk,SAC,"$17,405,203","$18,797,619","$20,190,035","$21,582,451",,,"$56,392,857",monkma01
100,Bogdan Bogdanović,LAC,"$17,260,000","$16,020,000","$16,020,000",,,,"$33,280,000",bogdabo01
101,Rui Hachimura,LAL,"$17,000,000","$18,259,259",,,,,"$35,259,259",hachiru01
102,Kevin Huerter,CHI,"$16,830,357","$17,991,071",,,,,"$34,821,428",huertke01
103,Zach Collins,CHI,"$16,741,200","$18,080,496",,,,,"$34,821,696",colliza01
104,Caris LeVert,ATL,"$16,615,384",,,,,,"$16,615,384",leverca01
105,Luguentz Dort,OKC,"$16,500,000","$17,722,222","$17,722,222",,,,"$34,222,222",dortlu01
106,Tim Hardaway Jr.,DET,"$16,193,183",,,,,,"$16,193,183",hardati02
107,Klay Thompson,DAL,"$15,873,016","$16,666,667","$17,460,317",,,,"$50,000,000",thompkl01
108,Deni Avdija,POR,"$15,625,000","$14,375,000","$13,125,000","$11,875,000",,,"$55,000,000",avdijde01
109,Grayson Allen,PHO,"$15,625,000","$16,875,000","$18,125,000","$19,375,000",,,"$50,625,000",allengr01
110,P.J. Washington,DAL,"$15,500,000","$14,152,174",,,,,"$29,652,174",washipj01
111,Max Strus,CLE,"$15,212,068","$15,936,452","$16,660,836",,,,"$47,809,356",strusma01
112,Isaiah Stewart,DET,"$15,000,000","$15,000,000","$15,000,000","$15,000,000",,,"$45,000,000",stewais01
113,Dorian Finney-Smith,LAL,"$14,924,167","$15,378,480",,,,,"$14,924,167",finnedo01
114,Mitchell Robinson,NYK,"$14,318,182","$12,954,546",,,,,"$27,272,728",robinmi01
115,Jordan Clarkson,UTA,"$14,092,577","$14,285,714",,,,,"$28,378,291",clarkjo01
116,Onyeka Okongwu,ATL,"$14,000,000","$15,000,000","$16,120,000","$16,880,000",,,"$62,000,000",okongon01
117,Naz Reid,MIN,"$13,986,432","$15,022,464",,,,,"$13,986,432",reidna01
118,Cade Cunningham,DET,"$13,940,809","$38,661,750","$41,754,690","$44,847,630","$47,940,570","$51,033,510","$238,178,959",cunnica01
119,Daniel Gafford,DAL,"$13,394,160","$14,386,320",,,,,"$27,780,480",gaffoda01
120,Grant Williams,CHO,"$13,025,250","$13,645,500","$14,265,750",,,,"$40,936,500",willigr01
121,Dennis Schröder,DET,"$13,025,250",,,,,,"$13,025,250",schrode01
122,Isaiah Joe,OKC,"$12,991,650","$12,362,338","$11,323,006","$11,323,006",,,"$36,676,994",joeis01
123,Herbert Jones,NOP,"$12,976,362","$13,937,574","$14,898,786",,,,"$41,812,722",joneshe01
124,Austin Reaves,LAL,"$12,976,362","$13,937,574","$14,898,786",,,,"$26,913,936",reaveau01
125,Obi Toppin,IND,"$12,975,000","$14,000,000","$15,000,000","$16,025,000",,,"$58,000,000",toppiob01
126,Cole Anthony,ORL,"$12,900,000","$13,100,000","$13,100,000",,,,"$12,900,000",anthoco01
127,De'Anthony Melton,BRK,"$12,822,000",,,,,,"$12,822,000",meltode01
128,Kelly Olynyk,NOP,"$12,804,878","$13,445,122",,,,,"$12,804,878",olynyke01
129,Victor Wembanyama,SAS,"$12,768,960","$13,376,880","$16,868,246",,,,"$26,145,840",wembavi01
130,Josh Green,CHO,"$12,654,321","$13,666,667","$14,679,012",,,,"$41,000,000",greenjo02
131,Richaun Holmes,WAS,"$12,648,321","$13,280,737",,,,,"$12,648,321",holmeri01
132,Steven Adams,HOU,"$12,600,000",,,,,,"$12,600,000",adamsst01
133,Bobby Portis,MIL,"$12,578,286","$13,445,754",,,,,"$12,578,286",portibo01
134,Zaccharie Risacher,ATL,"$12,569,040","$13,197,720","$13,826,040","$17,434,637",,,"$25,766,760",risacza01
135,Brandon Clarke,MEM,"$12,500,000","$12,500,000","$12,500,000",,,,"$37,500,000",clarkbr01
136,Marvin Bagley III,MEM,"$12,500,000",,,,,,"$12,500,000",baglema01
137,Jalen Green,HOU,"$12,483,048","$33,333,333","$36,000,000","$36,000,000",,,"$12,483,048",greenja05
138,Robert Williams,POR,"$12,428,571","$13,285,713",,,,,"$25,714,284",williro04
139,Paolo Banchero,ORL,"$12,160,800","$15,334,769",,,,,"$27,495,569",banchpa01
140,Coby White,CHI,"$12,000,000","$12,888,889",,,,,"$24,888,889",whiteco01
141,Wendell Carter Jr.,ORL,"$11,950,000","$10,850,000","$18,102,000","$19,550,160","$20,998,320",,"$60,452,160",cartewe01
142,Ivica Zubac,LAC,"$11,743,210","$18,102,000","$19,550,160","$20,998,320",,,"$70,393,690",zubaciv01
143,P.J. Tucker,TOR,"$12,025,777","$3,468,960",,,,,"$11,539,000",tuckepj01
144,Donte DiVincenzo,MIN,"$11,445,000","$11,990,000","$12,535,000",,,,"$35,970,000",divindo01
145,Brandon Miller,CHO,"$11,424,600","$11,968,800","$15,104,626",,,,"$23,393,400",millebr02
146,Terance Mann,ATL,"$11,423,077","$15,500,000","$15,500,000","$16,000,000",,,"$58,423,077",mannte01
147,Alex Sarr,WAS,"$11,245,680","$11,808,240","$12,370,680","$15,611,798",,,"$23,053,920",sarral01
148,Evan Mobley,CLE,"$11,227,657","$46,394,100","$50,105,628","$53,817,156","$57,528,684","$51,033,510","$270,106,735",mobleev01
149,Larry Nance Jr.,ATL,"$11,205,000",,,,,,"$11,205,000",nancela02
150,Matisse Thybulle,POR,"$11,025,000","$11,550,000",,,,,"$22,575,000",thybuma01
151,Aaron Nesmith,IND,"$11,000,000","$11,000,000","$11,000,000",,,,"$33,000,000",nesmiaa01
152,Gabe Vincent,LAL,"$11,000,000","$11,500,000",,,,,"$22,500,000",vincega01
153,Maxi Kleber,LAL,"$11,000,000","$11,000,000",,,,,"$22,000,000",klebima01
154,Moritz Wagner,ORL,"$11,000,000","$11,000,000",,,,,"$11,000,000",wagnemo01
155,Chet Holmgren,OKC,"$10,880,640","$13,731,368",,,,,"$24,612,008",holmgch01
156,Chris Boucher,TOR,"$10,810,000",,,,,,"$10,810,000",bouchch01
157,Jarred Vanderbilt,LAL,"$10,714,286","$11,571,429","$12,428,571","$13,285,714",,,"$34,714,286",vandeja01
158,Aaron Wiggins,OKC,"$10,514,017","$9,672,897","$8,831,776","$7,990,655","$7,990,655",,"$45,000,000",wiggiaa01
159,Chris Paul,SAS,"$10,460,000",,,,,,"$10,460,000",paulch01
160,Scoot Henderson,POR,"$10,259,160","$10,748,040","$13,585,523",,,,"$21,007,200",hendesc01
161,Isaac Okoro,CLE,"$10,185,186","$11,000,000","$11,814,814",,,,"$10,185,186",okorois01
162,Scottie Barnes,TOR,"$10,130,980","$38,661,750","$41,754,690","$44,847,630","$47,940,570","$51,033,510","$234,369,130",barnesc01
163,Reed Sheppard,HOU,"$10,098,960","$10,603,560","$11,108,880","$14,041,625",,,"$20,702,520",sheppre01
164,Mike Conley,MIN,"$9,975,962","$10,774,038",,,,,"$20,750,000",conlemi01
165,Jonas Valančiūnas,SAC,"$9,900,000","$10,395,000","$10,000,000",,,,"$20,295,000",valanjo01
166,Alex Caruso,OKC,"$9,890,000","$18,102,000","$19,550,160","$20,998,320","$22,446,480",,"$90,986,960",carusal01
167,Jabari Smith Jr.,HOU,"$9,770,880","$12,350,392",,,,,"$22,121,272",smithja05
168,Derrick Jones Jr.,LAC,"$9,523,810","$10,000,000","$10,476,190",,,,"$30,000,000",jonesde02
169,Al Horford,BOS,"$9,500,000",,,,,,"$9,500,000",horfoal01
170,Pat Connaughton,MIL,"$9,423,869","$9,423,869",,,,,"$9,423,869",connapa01
171,Royce O'Neale,PHO,"$9,375,000","$10,125,000","$10,875,000","$11,625,000",,,"$42,000,000",onealro01
172,T.J. McConnell,IND,"$9,300,000","$10,200,000","$11,000,000","$11,800,000","$11,800,000",,"$42,300,000",mccontj01
173,Luke Kennard,MEM,"$9,250,000",,,,,,"$9,250,000",kennalu01
174,Amen Thompson,HOU,"$9,249,960","$9,690,600","$12,258,609",,,,"$18,940,560",thompam01
175,Jalen Suggs,ORL,"$9,188,385","$35,000,000","$32,400,000","$29,600,000","$26,800,000","$26,700,000","$132,988,385",suggsja01
176,Caleb Martin,DAL,"$9,186,594","$9,594,044","$10,001,493","$9,371,351",,,"$28,782,131",martica02
177,Gary Payton II,GSW,"$9,130,000",,,,,,"$9,130,000",paytoga02
178,Stephon Castle,SAS,"$9,105,120","$9,560,520","$10,015,920","$12,670,139",,,"$18,665,640",castlst01
179,Tre Jones,CHI,"$9,104,167",,,,,,"$9,104,167",jonestr01
180,Goga Bitadze,ORL,"$9,057,971","$8,333,333","$7,608,696",,,,"$25,000,000",bitadgo01
181,Zeke Nnaji,DEN,"$8,888,889","$8,177,778","$7,466,667","$7,466,667",,,"$24,533,334",nnajize01
182,Keegan Murray,SAC,"$8,809,560","$11,144,093",,,,,"$19,953,653",murrake02
183,Buddy Hield,GSW,"$8,780,488","$9,219,512","$9,658,536","$10,097,560",,,"$27,658,536",hieldbu01
184,Kyle Anderson,MIA,"$8,780,488","$9,219,512","$9,658,536",,,,"$18,000,000",anderky01
185,Naji Marshall,DAL,"$8,571,429","$9,000,000","$9,428,571",,,,"$27,000,000",marshna01
186,Jalen Smith,CHI,"$8,571,429","$9,000,000","$9,428,571",,,,"$27,000,000",smithja04
187,Georges Niang,ATL,"$8,500,000","$8,200,000",,,,,"$16,700,000",niangge01
188,Ausar Thompson,DET,"$8,376,000","$8,775,000","$11,117,925",,,,"$17,151,000",thompau01
189,Josh Giddey,CHI,"$8,352,367",,,,,,"$8,352,367",giddejo01
190,Josh Okogie,CHO,"$8,250,000","$7,750,000",,,,,"$8,250,000",okogijo01
191,Ron Holland,DET,"$8,245,320","$8,657,280","$9,069,600","$11,491,183",,,"$16,902,600",hollaro01
192,Cody Martin,PHO,"$8,120,000",,,,,,"$8,120,000",martico01
193,Jock Landale,HOU,"$8,000,000","$8,000,000",,,,,"$16,000,000",landajo01
194,Trey Lyles,SAC,"$8,000,000",,,,,,"$8,000,000",lylestr01
195,Jeff Green,HOU,"$8,000,000",,,,,,"$8,000,000",greenje02
196,Kevon Looney,GSW,"$8,000,000",,,,,,"$8,000,000",looneke01
197,Kelly Oubre Jr.,PHI,"$7,983,000","$8,382,150",,,,,"$16,365,150",oubreke01
198,Jaden Ivey,DET,"$7,977,240","$10,107,163",,,,,"$18,084,403",iveyja01
199,KJ Martin,UTA,"$7,975,000","$8,025,000",,,,,"$7,975,000",martike04
200,Vasilije Micić,PHO,"$7,723,000","$8,109,150",,,,,"$7,723,000",micicva01
201,Simone Fontecchio,DET,"$7,692,308","$8,307,692",,,,,"$16,000,000",fontesi01
202,Jonathan Kuminga,GSW,"$7,636,307",,,,,,"$7,636,307",kuminjo01
203,Anthony Black,ORL,"$7,607,760","$7,970,280","$10,106,316",,,,"$15,578,040",blackan01
204,Jae'Sean Tate,HOU,"$7,565,217",,,,,,"$7,565,217",tateja01
205,Gary Harris,ORL,"$7,500,000",,,,,,"$7,500,000",harriga01
206,Tidjane Salaün,CHO,"$7,488,720","$7,863,240","$8,237,880","$10,445,633",,,"$15,351,960",salauti01
207,Bennedict Mathurin,IND,"$7,245,720","$9,187,573",,,,,"$16,433,293",mathube01
208,Max Christie,DAL,"$7,142,857","$7,714,286","$8,285,714","$8,857,143",,,"$23,142,857",chrisma02
209,Franz Wagner,ORL,"$7,007,092","$38,661,750","$41,754,690","$44,847,630","$47,940,570","$51,033,510","$231,245,242",wagnefr01
210,Ayo Dosunmu,CHI,"$7,000,000","$7,518,518",,,,,"$14,518,518",dosunay01
211,Bilal Coulibaly,WAS,"$6,945,240","$7,275,600","$9,240,012",,,,"$14,220,840",coulibi01
212,Donovan Clingan,POR,"$6,836,400","$7,178,400","$7,519,920","$9,550,298",,,"$14,014,800",clingdo01
213,Payton Pritchard,BOS,"$6,696,429","$7,232,143","$7,767,857","$8,303,571",,,"$30,000,000",pritcpa01
214,Kenrich Williams,OKC,"$6,669,000","$7,163,000","$7,163,000",,,,"$13,832,000",willike04
215,Shaedon Sharpe,POR,"$6,614,160","$8,399,983",,,,,"$15,014,143",sharpsh01
216,Jevon Carter,CHI,"$6,500,000","$6,809,524",,,,,"$13,309,524",carteje01
217,Davion Mitchell,MIA,"$6,451,077",,,,,,"$6,451,077",mitchda01
218,Saddiq Bey,WAS,"$6,440,678","$6,118,644","$6,440,678",,,,"$6,440,678",beysa01
219,Jarace Walker,IND,"$6,362,520","$6,665,520","$8,478,542",,,,"$13,028,040",walkeja02
220,Rob Dillingham,MIN,"$6,262,920","$6,576,120","$6,889,320","$8,763,216",,,"$12,839,040",dilliro01
221,Dean Wade,CLE,"$6,166,667","$6,623,456",,,,,"$6,166,667",wadede01
222,John Konchar,MEM,"$6,165,000","$6,165,000","$6,165,000",,,,"$18,495,000",konchjo01
223,Ziaire Williams,BRK,"$6,133,005",,,,,,"$6,133,005",willizi02
224,Dyson Daniels,ATL,"$6,059,520","$7,707,709",,,,,"$13,767,229",daniedy01
225,Precious Achiuwa,NYK,"$6,000,000",,,,,,"$6,000,000",achiupr01
226,Malik Beasley,DET,"$6,000,000",,,,,,"$6,000,000",beaslma01
227,Chris Duarte,CHI,"$5,893,768",,,,,,"$5,893,768",duartch01
228,Taylor Hendricks,UTA,"$5,848,680","$6,127,080","$7,805,900",,,,"$11,975,760",hendrta01
229,Moses Moody,GSW,"$5,803,269","$11,574,075","$12,500,000","$13,425,925",,,"$43,303,269",moodymo01
230,Zach Edey,MEM,"$5,756,880","$6,045,000","$6,332,760","$8,067,937",,,"$11,801,880",edeyza01
231,Corey Kispert,WAS,"$5,705,887","$13,975,000","$13,975,000","$13,050,000","$13,050,000",,"$46,705,887",kispeco01
232,Jeremy Sochan,SAS,"$5,570,040","$7,096,231",,,,,"$12,666,271",sochaje01
233,Cason Wallace,OKC,"$5,555,880","$5,820,240","$7,420,806",,,,"$11,376,120",wallaca01
234,Cody Williams,UTA,"$5,469,120","$5,742,480","$6,015,600","$7,669,890",,,"$11,211,600",willico04
235,Alperen Şengün,HOU,"$5,424,654","$33,944,954","$35,642,202","$37,339,450","$39,036,697","$39,036,697","$151,387,957",sengual01
236,Johnny Davis,MEM,"$5,291,160",,,,,,"$5,291,160",davisjo06
237,Jett Howard,ORL,"$5,278,320","$5,529,720","$7,337,939",,,,"$10,808,040",howarje01
238,Dāvis Bertāns,CHO,"$5,250,000",,,,,,"$5,250,000",bertada01
239,Haywood Highsmith,MIA,"$5,200,000","$5,616,000",,,,,"$10,816,000",highsha01
240,Matas Buzelis,CHI,"$5,195,520","$5,455,560","$5,715,360","$7,584,283",,,"$10,651,080",buzelma01
241,Kris Dunn,LAC,"$5,168,000","$5,426,400","$5,684,800",,,,"$10,594,400",dunnkr01
242,Dario Šarić,DEN,"$5,168,000","$5,426,400",,,,,"$10,594,400",saricda01
243,Trey Murphy III,NOP,"$5,159,854","$25,000,000","$27,000,000","$29,000,000","$31,000,000",,"$117,159,854",murphtr02
244,Ousmane Dieng,OKC,"$5,027,040","$6,670,882",,,,,"$11,697,922",diengou01
245,Dereck Lively II,DAL,"$5,014,560","$5,253,360","$7,239,131",,,,"$10,267,920",livelde01
246,Andre Drummond,PHI,"$5,000,000","$5,000,000",,,,,"$10,000,000",drumman01
247,Nick Richards,PHO,"$5,000,000","$5,000,000",,,,,"$5,000,000",richani01
248,Nikola Topić,OKC,"$4,935,960","$5,182,920","$5,429,760","$7,482,210",,,"$10,118,880",topicni01
249,Tre Mann,CHO,"$4,908,373",,,,,,"$4,908,373",manntr01
250,Jalen Williams,OKC,"$4,775,760","$6,580,997",,,,,"$11,356,757",willija06
251,Gradey Dick,TOR,"$4,763,760","$4,990,560","$7,131,511",,,,"$9,754,320",dickgr01
252,Jalen McDaniels,SAS,"$4,861,772",,,,,,"$4,741,800",mcdanja01
253,Miles McBride,NYK,"$4,710,144","$4,333,333","$3,956,523",,,,"$13,000,000",mcbrimi01
254,Devin Carter,SAC,"$4,689,000","$4,923,720","$5,158,080","$7,370,897",,,"$9,612,720",cartede02
255,Nicolas Batum,LAC,"$4,668,000",,,,,,"$4,668,000",batumni01
256,Aaron Holiday,HOU,"$4,668,000","$4,901,400",,,,,"$4,668,000",holidaa01
257,Jalen Duren,DET,"$4,536,840","$6,483,144",,,,,"$11,019,984",durenja01
258,Jordan Hawkins,NOP,"$4,525,680","$4,741,320","$7,021,895",,,,"$9,267,000",hawkijo01
259,Jalen Johnson,ATL,"$4,510,905","$30,000,000","$30,000,000","$30,000,000","$30,000,000","$30,000,000","$154,510,905",johnsja05
260,Bub Carrington,WAS,"$4,454,880","$4,677,600","$4,900,560","$7,257,730",,,"$9,132,480",carrica01
261,Isaiah Jackson,IND,"$4,435,381",,,,,,"$4,435,381",jacksis01
262,Nickeil Alexander-Walker,MIN,"$4,312,500",,,,,,"$4,312,500",alexani01
263,Ochai Agbaji,TOR,"$4,310,280","$6,383,525",,,,,"$10,693,805",agbajoc01
